0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0.0,6.0858245,8.037694,8.672383,14.828237,2.726047,10.712661,0.0,9.428389,20.71292,0.0,8.702437,21.353289,4.931243,0.0,0.46482086,3.7477849,0.0,0.0,13.969637,11.011088,0.0,0.0,0.0,10.357242,12.897791,14.4596195,12.347325,8.985542,9.759697,9.019786,24.948898,22.492,2.8073716,0.0,10.899506,7.638055,3.827543,6.124516,0.0,25.237984,4.358666,0.0,0.0,9.647694,0.0,6.585042,0.0,4.3823876,25.150766,3.5458784,3.5508819,0.0,0.0,8.141647,5.5351143,10.354413,17.46151,4.531571,2.591332,7.943001,10.945616
11.839707,2.393345,8.956198,5.593771,7.461197,3.950179,10.429893,2.498535,7.682174,0.41693187,13.521525,7.8803754,10.540183,5.1693463,1.4755435,0.0,1.7843374,7.8304677,3.1697168,4.8508606,11.222023,10.709559,0.0,0.0,8.181746,9.777471,11.433125,21.407269,4.9519677,7.4777007,7.0937223,11.780253,20.021744,7.6099977,0.0,4.038891,2.1055226,9.828019,4.281159,0.0,4.8880663,3.3775506,0.0,7.9441075,7.6807604,4.9386697,11.004317,1.5664995,9.873567,4.0600233,2.7900996,5.8985686,1.5431232,4.0270224,8.505621,8.232814,10.5243025,5.7703776,4.750208,0.0,9.351067,7.2533045
8.43254,0.82151455,2.775649,5.8954134,7.504262,3.817085,3.1749747,7.470614,0.0,2.102943,10.950151,8.283506,6.0999684,8.486628,6.6414175,0.34122917,3.4064543,7.4712977,5.8510375,6.5664363,8.770176,5.548146,0.0,0.0,7.38907,2.5968647,5.942677,16.299288,2.1863158,4.636598,3.0420053,2.6101017,0.20113558,2.3434691,0.0,6.2908897,5.733199,7.970836,7.860227,0.0,7.7984967,6.916037,4.0678964,5.7130585,6.418497,5.6042256,6.865714,0.38991296,1.4903381,6.231868,0.0,5.841539,8.16415,3.0928488,5.487614,12.534159,6.5407343,6.752668,6.623358,0.51336414,7.563161,6.339525
10.573399,1.223953,4.879264,4.2859206,7.559215,5.90275,3.2384222,7.4068727,0.0,0.85969526,12.884076,5.5651507,8.158568,6.562436,6.447937,0.0,0.39075196,6.21304,6.667465,4.1423326,8.296389,5.857774,0.0,0.0,6.3581448,5.164973,6.7400866,10.050024,2.8751292,5.051643,8.3855,2.8925478,2.3377328,5.823586,0.0,4.2722654,3.5233855,9.29314,9.330923,0.0,0.0,4.552192,5.6961837,7.381018,6.098079,5.397519,4.6649256,1.1048524,3.8038301,2.5978875,1.3477178,7.715009,11.304985,2.4406614,10.32176,8.514693,8.360453,2.0670621,9.143765,0.0,7.484054,5.6138835
9.329457,5.66531,2.7399123,2.9851682,10.366099,7.1559777,2.0810416,10.738335,0.0,14.829918,7.524657,7.445433,11.122358,16.403172,9.239846,0.0,7.524121,8.3308,6.0014906,6.813996,6.988688,5.1324463,0.0,0.0,4.951872,5.270449,6.652314,7.002884,4.5382295,3.7898934,8.767959,2.8345747,2.2208877,4.0264726,0.0,6.398125,8.062709,8.87266,8.375801,0.0,6.2275343,6.764811,7.102242,5.692615,10.701317,4.5506334,6.111161,0.0,1.795261,12.840794,0.0,8.568992,14.73594,4.4524136,8.271226,7.594285,13.726982,12.973865,10.609607,4.502312,7.3003087,6.1575174
1.5559535,2.530663,4.6683116,9.447334,7.0693426,2.1875458,5.3085337,6.6233273,2.9517426,2.9394221,12.651902,6.597687,6.8358517,1.5209123,5.4487276,0.80647504,4.0683064,3.815633,2.8023543,3.99669,10.844999,5.8959036,0.0,0.0,5.6002817,8.225734,4.604277,10.393699,6.547237,6.3166566,14.229553,4.4431844,1.1159247,4.883244,0.0,4.7511,3.0879092,6.249664,10.477834,0.0,7.2656603,8.694158,1.3791662,4.1596127,3.034514,5.4322853,2.2012398,0.06973664,5.879703,0.0,3.1469724,3.839781,1.4604027,3.1889918,9.4561615,7.6704116,2.717611,1.5227997,6.6879826,4.395387,6.9227266,6.172877
5.903434,3.3259392,3.7125843,4.4932847,6.5618415,3.5474102,5.1382585,3.791449,5.770764,5.7176285,5.072869,6.3019543,5.089243,10.162641,6.3382554,0.0,3.2566833,8.547662,4.3221283,4.9399457,5.86169,2.4487538,0.0,0.0,4.9302464,4.345336,7.0633993,11.021669,5.082385,3.4222536,3.355644,5.42009,9.304391,4.2589936,0.0,3.702237,7.1173882,3.5893655,4.6224446,0.0,8.55684,4.542584,4.6019764,5.843324,4.5634537,5.2239757,6.1999116,4.132401,3.8330038,19.337187,6.3217106,5.054819,7.9116745,6.90262,5.624447,5.0909667,5.8419986,4.9331436,6.1199675,5.9597297,5.1965933,6.303712
5.463371,3.9927309,4.8863754,6.427162,7.053393,2.5728765,3.7131383,5.77299,5.0000587,7.77107,7.3132505,6.4870677,8.660916,5.6957,5.6002398,0.0,4.305151,6.0177994,4.8294754,5.659442,7.761147,3.744995,0.0,0.0,4.3136125,5.1856318,5.1573243,8.420449,5.799918,5.672345,7.5061636,5.001433,5.658711,6.2889876,0.0,4.856359,6.6994147,4.9358625,7.8186097,0.0,7.541669,5.3605747,5.3558264,4.7780585,4.353664,3.89229,5.510434,2.0980783,4.397062,9.759381,2.5361245,5.5544734,6.6660247,3.7926638,7.4981174,8.1672735,6.004543,3.427528,6.964227,5.653409,7.0138702,6.308675
5.8756456,2.8620653,3.1565986,6.64886,5.4215894,0.5981887,6.4496303,5.3195877,8.105815,8.599267,7.0722537,7.1878114,5.500716,5.3660936,7.517367,1.4507482,3.384265,5.7425923,4.1797113,3.746602,7.3240337,4.2083097,0.0,0.0,2.5760202,5.047947,5.653293,9.237784,5.277996,5.8060102,9.156805,6.0966744,6.031704,5.1456327,0.0,4.8431325,7.1779766,1.7400964,9.798182,0.0,6.8175974,3.366797,3.84954,5.270416,2.8539603,4.4726768,4.7173023,2.815462,4.9061613,15.986375,3.2908857,3.5725431,2.8395727,4.5604653,6.80979,7.874735,4.5193663,2.79623,3.7965302,10.97495,7.3862267,6.3927016
7.096478,3.1066842,4.8009424,3.8306842,7.187963,4.6460752,2.2577164,5.0929995,0.8820707,5.0074153,6.3629622,5.57635,8.642812,5.465946,0.32428837,0.0,3.804915,5.925128,3.9418123,4.070105,6.1002164,2.4713645,0.0,0.0,4.4271955,6.229653,5.2878633,4.795292,5.104636,5.0958886,6.8770823,3.2651193,1.0627606,4.7767563,0.0,3.8825164,7.0641418,5.768181,5.0917764,0.0,3.6106346,3.881994,4.4292684,2.8333137,5.883175,4.2608576,4.0865674,1.5237362,4.0093083,8.0972,1.3091525,7.232435,8.872254,2.4761634,9.491769,2.9087706,6.655753,2.759632,7.1962085,0.0,4.7894692,6.7014937
